STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
10,3,15100,1400000US10003015100,10003015100,151.0,New Castle,DE,Delaware,"Census Tract 151, New Castle County, Delaware",3474.0,256.0,4646.0,1.6149,0.6746,1.2149,0.6748,0.8187,0.6626,0.5868,0.6584,2.7265,0.7711,0.9707,0.8073,0.0,0.7016,0.0,0.0,2.4796,0.9386,0.3853,0.9144,0.3587,1.6584,0.5816,0.7891,0.6755,0.9861,2.4507,0.9871,0.1894,0.1894,0.1894,9.5046,0.9829,0.5309,0.5309,0.5309,0.3124,0.298,0.8251,0.3351,0.2053,0.2674,0.6592,2.9025,0.3713,0.4702,0.5832,0.2211,0.0,1.2745,0.0755,0.0,0.3832,0.3832,0.1614,5.0911,0.232,1.0,0.0,1.0,0.0,0.0,2.0,0.4,3.33,9.62,0.47,34.81,32.1,93.07,0.0,3.07,0.0,0.0,100.0,92.91,11.67,100.0,89.9,86.83,5.7,32.7,20.8598,6.1,8.7,22.5,18.2292,4.1,21.4,15.2,23.2,8.7,0.0,0.0,0.1,35.9,9.5,7.8,13.1,11.2,0.7185,0.4269,0.7565,0.5598,0.397
10,3,15200,1400000US10003015200,10003015200,152.0,New Castle,DE,Delaware,"Census Tract 152, New Castle County, Delaware",5779.0,398.0,7782.0,2.1289,0.8599,1.7289,0.9363,0.8187,0.6868,0.7307,0.8153,3.0515,0.8642,0.9612,0.687,0.0,0.8956,0.0,0.0,2.5438,0.9445,0.3853,0.902,0.3219,1.6092,0.5412,0.7592,0.7666,0.9601,2.4859,0.9909,0.7036,0.7036,0.7036,10.394,0.9965,0.7319,0.7319,0.7319,0.6067,0.9002,0.6849,0.4869,0.5077,0.3784,0.641,4.2058,0.6562,0.2111,0.4497,0.4962,0.802,1.959,0.4544,0.4558,0.9543,1.4101,0.8298,8.3068,0.7324,0.0,1.0,0.0,1.0,0.0,2.0,0.4,3.33,9.72,0.61,39.01,19.18,58.25,0.0,48.59,0.0,0.0,100.0,92.1,12.23,97.7,100.0,39.92,83.73999999999998,57.5,35.4845,26.7,6.5,30.7,26.4674,5.4,20.8,10.6,21.4,12.5,6.3,0.5,11.8,33.3,10.8,5.7,16.9,11.2,0.5825,0.7575,0.2923,0.5598,0.7899
10,3,15400,1400000US10003015400,10003015400,154.0,New Castle,DE,Delaware,"Census Tract 154, New Castle County, Delaware",2974.0,362.0,3054.0,2.412,0.9348,1.612,0.8884,0.8187,0.6949,0.7998,0.9973,3.3107,0.934,0.9795,0.836,0.0,0.9605,0.0,0.0,2.776,0.9742,0.3853,0.782,0.3534,1.5207,0.4632,0.7476,0.7666,0.0,1.5142,0.7524,0.6135,0.6135,0.6135,9.7351,0.9884,0.9681,0.9681,0.9681,0.5906,0.5593,0.0632,0.3871,0.6348,0.4619,0.7925,3.4894,0.5016,0.4335,0.8222,0.6473,0.5373,2.4403,0.8328,0.696,0.0,0.696,0.4013,7.5938,0.6236,1.0,1.0,0.0,1.0,1.0,4.0,0.8,3.33,9.76,0.7,79.59,49.29,98.42,0.0,89.04,0.0,0.0,100.0,83.86,11.75,95.83,100.0,0.0,66.67,97.5,34.6335,11.2,1.5,25.1,30.7615,6.5,26.8,14.6,27.4,14.8,1.6,4.8,0.0,49.9,12.5,6.4,17.0,20.4,0.9814,0.9343,0.4287,0.9731,0.7971
10,3,15502,1400000US10003015502,10003015502,155.02,New Castle,DE,Delaware,"Census Tract 155.02, New Castle County, Delaware",2880.0,338.0,2593.0,2.5252,0.9614,1.7252,0.9349,0.8187,0.6893,0.7394,0.9993,3.2467,0.9151,0.9785,0.8577,0.0,0.9631,0.0,0.0,2.7993,0.9785,0.3853,0.9062,0.5268,1.8183,0.6998,0.7891,0.7666,0.0,1.5557,0.7805,0.3284,0.3284,0.3284,9.7484,0.9886,0.8514,0.8514,0.8514,0.7721,0.6745,0.8605,0.644,0.7532,0.7358,0.5809,5.021,0.8079,0.4702,0.435,0.4891,0.5938,1.9881,0.4813,0.4769,0.0,0.4769,0.2368,8.3374,0.7366,1.0,1.0,0.0,1.0,1.0,4.0,0.8,3.33,9.73,0.62,140.63,46.87,100.0,0.0,90.93,0.0,0.0,100.0,92.37,8.75,100.0,100.0,0.0,23.09,79.59999999999998,46.2343,14.4,9.6,41.8,35.8416,11.6,18.9,15.2,21.2,12.4,2.1,0.6,0.0,44.1,12.0,6.0,17.6,17.7,0.9343,0.9042,0.3472,0.939,0.837
10,3,15600,1400000US10003015600,10003015600,156.0,New Castle,DE,Delaware,"Census Tract 156, New Castle County, Delaware",2638.0,297.0,1658.0,2.3442,0.9184,1.7442,0.9419,0.8187,0.6828,0.793,0.9965,3.291,0.9276,0.0,0.6878,0.0,0.8546,0.0,0.0,1.5424,0.7672,0.3853,0.8662,0.2928,1.5443,0.485,0.6526,0.7666,0.0,1.4192,0.6916,0.3841,0.3841,0.3841,8.181,0.9055,0.8412,0.8412,0.8412,0.5025,0.8303,0.838,0.2984,0.7293,0.6127,0.6561,4.4673,0.7074,0.4826,0.5902,0.9265,0.7132,2.7125,0.9435,0.6268,0.4452,1.072,0.6903,9.093,0.8387,1.0,1.0,0.0,0.0,1.0,3.0,0.6,3.33,9.7,0.69,74.54,0.0,58.52,0.0,30.84,0.0,0.0,100.0,89.73,12.67,72.94,100.0,0.0,30.63,77.59999999999998,30.0702,21.3,9.0,20.7,34.7066,8.9,21.3,15.4,23.3,22.4,3.8,2.4,0.2,42.8,11.0,6.4,15.3,16.0,0.9159,0.7919,0.4287,0.8975,0.6465
10,3,15802,1400000US10003015802,10003015802,158.02,New Castle,DE,Delaware,"Census Tract 158.02, New Castle County, Delaware",2268.0,237.0,2465.0,2.34,0.9173,1.54,0.8556,0.8187,0.6735,0.6647,0.9968,3.1537,0.8933,0.9636,0.8099,0.0,0.0,0.0,0.0,1.7735,0.8512,0.3853,0.9357,0.4582,1.7792,0.6719,0.7891,0.6186,0.0,1.4077,0.6842,0.0,0.0,0.0,8.1141,0.8981,0.7435,0.7435,0.7435,0.7517,0.8238,0.9031,0.3494,0.6957,0.7154,0.5315,4.7706,0.7642,0.236,0.6641,0.6473,0.6454,2.1928,0.6613,0.0,0.0,0.0,0.0,7.7069,0.6419,1.0,1.0,0.0,1.0,1.0,4.0,0.8,3.33,9.66,0.54,76.31999999999998,21.95,93.66,0.0,0.0,0.0,0.0,100.0,94.34,9.83,100.0,77.95999999999998,0.0,0.0,59.5,44.709,20.9,11.1,23.2,33.1962,11.1,17.4,11.1,24.4,14.8,2.7,0.0,0.0,36.2,11.0,5.6,18.3,13.1,0.7327,0.7919,0.2747,0.7441,0.8751
10,3,15900,1400000US10003015900,10003015900,159.0,New Castle,DE,Delaware,"Census Tract 159, New Castle County, Delaware",3615.0,520.0,2205.0,1.667,0.6964,1.267,0.708,0.8187,0.6735,0.6842,0.9878,3.1642,0.8958,0.9687,0.8502,0.0,0.0,0.0,0.0,1.8189,0.8715,0.3853,0.6778,0.3406,1.4037,0.3523,0.7891,0.6453,0.0,1.4344,0.7013,0.0,0.0,0.0,7.8212,0.8617,0.6519,0.6519,0.6519,0.5373,0.6289,0.6849,0.248,0.7484,0.4619,0.4618,3.7712,0.5629,0.226,0.7673,0.3952,0.0,1.3885,0.1041,0.4399,0.0,0.4399,0.1938,6.2515,0.4053,1.0,0.0,0.0,0.0,1.0,2.0,0.4,3.33,9.66,0.56,53.06,28.92,99.74,0.0,0.0,0.0,0.0,100.0,75.89,11.94,100.0,83.86,0.0,0.0,45.9,31.8396,13.0,6.5,18.3,35.6176,6.5,15.4,10.9,26.2,11.1,0.0,0.4,0.0,37.3,10.3,6.9,15.4,13.0,0.7772,0.6494,0.5402,0.7369,0.6567
10,3,16000,1400000US10003016000,10003016000,160.0,New Castle,DE,Delaware,"Census Tract 160, New Castle County, Delaware",2617.0,341.0,3652.0,2.3753,0.9261,1.5753,0.8724,0.8187,0.6689,0.6329,0.7756,2.8961,0.8182,0.9744,0.8261,0.0,0.0,0.0,0.0,1.8005,0.8626,0.3853,0.9334,0.1839,1.5026,0.4463,0.7891,0.6698,0.9351,2.394,0.9819,0.1311,0.1311,0.1311,8.7243,0.9501,0.7753,0.7753,0.7753,0.7284,0.5016,0.7789,0.5297,0.7673,0.3622,0.5045,4.1726,0.6496,0.7518,0.7072,0.6045,0.5938,2.6573,0.9277,0.0,0.0,0.0,0.0,7.6052,0.6252,1.0,1.0,0.0,1.0,1.0,4.0,0.8,3.33,9.64,0.51,37.81,38.23,97.04,0.0,0.0,0.0,0.0,100.0,94.2,14.0,100.0,88.90999999999998,18.67,0.4,65.1,43.0646,9.9,7.8,33.5,36.5482,5.2,16.6,20.1,25.1,14.1,2.1,0.0,0.0,43.7,11.4,6.4,15.9,15.7,0.9294,0.848,0.4287,0.887,0.7053
10,3,16100,1400000US10003016100,10003016100,161.0,New Castle,DE,Delaware,"Census Tract 161, New Castle County, Delaware",2176.0,242.0,2742.0,1.2728,0.51,0.8728,0.4135,0.7884,0.6534,0.621,0.7943,2.8571,0.807,0.9959,0.5105,0.0,0.0,0.0,0.0,1.5064,0.7543,0.3853,0.8875,0.2037,1.4765,0.4213,0.7891,0.1911,0.0,0.9802,0.4731,0.0,0.0,0.0,6.8202,0.6938,0.5331,0.5331,0.5331,0.3034,0.0778,0.6286,0.399,0.4486,0.2588,0.2731,2.3893,0.2659,0.6683,0.0968,0.5851,0.399,1.7492,0.2863,0.0,0.0,0.0,0.0,4.6716,0.179,1.0,0.0,1.0,0.0,0.0,2.0,0.4,3.0,9.59,0.5,38.33,100.0,16.16,0.0,0.0,0.0,0.0,100.0,91.15,13.75,100.0,1.65,0.0,0.0,32.9,20.4504,2.3,5.9,25.7,24.7368,4.0,10.3,18.5,13.6,13.8,0.8,0.0,0.0,39.7,9.6,8.4,12.2,12.1,0.8525,0.4568,0.8659,0.6563,0.2921
10,3,16200,1400000US10003016200,10003016200,162.0,New Castle,DE,Delaware,"Census Tract 162, New Castle County, Delaware",2657.0,215.0,5514.0,1.1838,0.4602,1.1838,0.653,0.8187,0.6371,0.6095,0.6032,2.6685,0.7555,0.9959,0.8056,0.0,0.9441,0.0,0.0,2.7456,0.969,0.3893,0.5563,0.2739,1.2195,0.1989,0.7891,0.4224,0.9514,2.1629,0.9613,0.0,0.0,0.0,8.7965,0.9543,0.5028,0.5028,0.5028,0.3001,0.5504,0.159,0.7103,0.8095,0.0917,0.408,3.029,0.3991,0.8672,0.0488,0.6239,0.0,1.5399,0.162,0.0,0.0,0.0,0.0,5.0717,0.2295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,9.54,0.49,33.49,100.0,92.72000000000001,0.0,77.98999999999998,0.0,0.0,99.95,66.15,12.89,100.0,35.75,30.48,0.0,30.1,20.286,11.0,2.4,47.5,38.9065,2.0,13.9,23.3,9.3,14.4,0.0,0.0,0.0,34.1,9.8,7.2,13.2,10.0,0.6276,0.5157,0.6113,0.4083,0.4088
